"","FuelType","Price","Age","KM","FuelType_orignal","CC","Weight","Fueltype_correct"
"1",0,0,0,0,NA,0,0,0
"7",1,16900,27,94612,"Diesel",2000,1245,1
"12",2,19950,22,43610,"Petrol",1800,1185,2
"16",2,22000,28,18739,"Petrol",1800,1185,2
"23",2,15950,28,56349,"Petrol",1600,1120,2
"47",1,17950,27,79375,"Diesel",2000,1255,1
"58",2,15250,26,43000,"Petrol",1400,1110,2
"84",2,17950,31,16238,"Petrol",1600,1180,2
"88",2,17950,20,66966,"Diesel",2000,1245,1
"95",2,18900,20,31850,"Petrol",1600,1120,2
"98",2,15950,19,25948,"Petrol",1400,1100,2
"128",2,16500,20,35000,"Petrol",1400,1110,2
"131",2,16250,20,32627,"Petrol",1400,1110,2
"137",2,18450,19,27371,"Petrol",1400,1135,2
"148",2,24500,13,19988,"Petrol",1600,1130,2
"1",93.3333333333333
