"","FuelType","Price","Age","KM","FuelType_orignal","CC","Weight","Fueltype_correct"
"1",0,0,0,0,NA,0,0,0
"10",1,12950,23,71138,"Diesel",1900,1105,1
"12",2,19950,22,43610,"Petrol",1800,1185,2
"32",2,15750,22,35199,"Petrol",1400,1100,2
"36",2,15750,26,43000,"Petrol",1400,1100,2
"42",2,16750,27,44068,"Petrol",1400,1100,2
"48",1,15800,22,75048,"Petrol",1400,1110,2
"68",2,14950,22,30400,"Petrol",1400,1110,2
"93",2,19950,16,34472,"Diesel",1995,1260,1
"98",2,15950,19,25948,"Petrol",1400,1100,2
"102",2,16250,19,19200,"Petrol",1400,1100,2
"105",2,19450,11,14635,"Petrol",1600,1155,2
"107",2,18800,14,11500,"Petrol",1600,1045,2
"111",1,31000,4,4000,"Diesel",2000,1480,1
"131",2,16250,20,32627,"Petrol",1400,1110,2
"139",2,23000,11,25000,"Diesel",2000,1320,1
"148",2,24500,13,19988,"Petrol",1600,1130,2
"1",82.3529411764706
