"","Age","Price","Age_correct","KM","FuelType","CC","Weight","Fueltype_num"
"3",28,13950,24,41711,"Diesel",2000,1165,1
"4",22,14950,26,48000,"Diesel",2000,1165,1
"7",25,16900,27,94612,"Diesel",2000,1245,1
"17",24,22750,30,34000,"Petrol",1800,1185,2
"27",18,17495,27,34545,"Petrol",1600,1120,2
"30",16,17950,30,11090,"Petrol",1600,1120,2
"35",22,15500,22,41000,"Petrol",1400,1100,2
"42",28,16750,27,44068,"Petrol",1400,1100,2
"45",26,16950,22,100250,"Diesel",2000,1255,1
"50",25,21950,31,64982,"Petrol",1800,1195,2
"63",24,18750,31,36544,"Petrol",1600,1130,2
"64",18,17950,30,33511,"Petrol",1600,1130,2
"65",18,17950,27,32809,"Petrol",1400,1110,2
"67",22,18950,28,30993,"Petrol",1600,1130,2
"69",24,22250,22,30000,"Diesel",2000,1275,1
"70",24,15950,25,29719,"Petrol",1400,1110,2
"77",18,18750,31,25266,"Petrol",1600,1130,2
"78",14,18450,27,23489,"Petrol",1600,1115,2
"80",24,14900,30,22000,"Petrol",1400,1110,2
"82",20,17250,29,20000,"Petrol",1600,1115,2
"89",22,15950,19,51884,"Petrol",1400,1100,2
"92",24,22250,20,37500,"Diesel",2000,1260,1
"96",24,19950,17,30351,"Diesel",1995,1260,1
"97",28,15950,19,29435,"Petrol",1400,1100,2
"98",30,15950,19,25948,"Petrol",1400,1100,2
"101",17,18990,20,23175,"Petrol",1600,1120,2
"103",15,18500,13,18000,"Petrol",1400,1125,2
"116",8,24990,8,6000,"Diesel",2000,1280,1
"117",10,21950,8,10841,"Diesel",2000,1270,1
"125",20,16950,17,36012,"Petrol",1600,1130,2
"134",28,15950,13,29371,"Petrol",1600,1105,2
"135",24,16500,20,29000,"Petrol",1400,1110,2
"138",27,16250,13,25170,"Petrol",1600,1105,2
"145",20,18950,15,20270,"Petrol",1600,1130,2
"1",0.910630233134775
