"","Age","Price","Age_correct","KM","FuelType","CC","Weight","Fueltype_num"
"11",22,20950,25,31461,"Petrol",1800,1185,2
"16",20,22000,28,18739,"Petrol",1800,1185,2
"41",24,13950,22,49059,"Petrol",1400,1100,2
"45",27,16950,22,100250,"Diesel",2000,1255,1
"53",20,20500,26,56000,"Petrol",1600,1180,2
"55",23,15500,25,49163,"Petrol",1600,1165,2
"60",22,15999,30,38950,"Petrol",1600,1130,2
"70",21,15950,25,29719,"Petrol",1400,1110,2
"72",22,12995,32,29198,"Petrol",1400,1060,2
"74",22,15750,23,28227,"Petrol",1400,1110,2
"91",24,16450,20,48110,"Petrol",1400,1100,2
"94",17,15950,20,33329,"Petrol",1400,1100,2
"114",8,24950,8,13253,"Diesel",2000,1320,1
"1",0.0677426956723832
